TIME,V(OUT),V(IN)
8.19835166e-10,-5.89389186e-01,1.15383960e-02
8.20000000e-10,-5.94134337e-01,5.55111512e-16
8.20020519e-10,-5.92866553e-01,0.00000000e+00
8.20041037e-10,-5.91600199e-01,0.00000000e+00
8.20082075e-10,-5.89069484e-01,0.00000000e+00
8.20164150e-10,-5.84024108e-01,0.00000000e+00
8.20328299e-10,-5.73991771e-01,0.00000000e+00
8.20656598e-10,-5.54129960e-01,0.00000000e+00
8.21313196e-10,-5.15097486e-01,0.00000000e+00
8.22626393e-10,-4.39449306e-01,0.00000000e+00
8.23939589e-10,-3.66765019e-01,0.00000000e+00
8.25252786e-10,-2.96831674e-01,0.00000000e+00
8.26565982e-10,-2.29483518e-01,0.00000000e+00
8.27879178e-10,-1.64570260e-01,0.00000000e+00
8.29192375e-10,-1.01954091e-01,0.00000000e+00
8.30505571e-10,-4.15084647e-02,0.00000000e+00
8.31818768e-10,1.68828599e-02,0.00000000e+00
8.33131964e-10,7.33265990e-02,0.00000000e+00
8.34445160e-10,1.27920545e-01,0.00000000e+00
8.35758357e-10,1.80753959e-01,0.00000000e+00
8.37071553e-10,2.31907690e-01,0.00000000e+00
8.38384750e-10,2.81453875e-01,0.00000000e+00
8.39697946e-10,3.29454944e-01,0.00000000e+00
8.41011142e-10,3.75961333e-01,0.00000000e+00
8.42324339e-10,4.21006549e-01,0.00000000e+00
8.43637535e-10,4.64596301e-01,0.00000000e+00
8.44950731e-10,5.06682982e-01,0.00000000e+00
8.46263928e-10,5.47100384e-01,0.00000000e+00
8.47577124e-10,5.85385713e-01,0.00000000e+00
8.48890321e-10,6.20339300e-01,0.00000000e+00
8.50203517e-10,6.49610833e-01,0.00000000e+00
8.51516713e-10,6.70992025e-01,0.00000000e+00
8.52698590e-10,6.83464779e-01,0.00000000e+00
8.53880467e-10,6.90968803e-01,0.00000000e+00
8.55062344e-10,6.95190753e-01,0.00000000e+00
8.56244220e-10,6.97475609e-01,0.00000000e+00
8.58607974e-10,6.99431907e-01,0.00000000e+00
8.60971727e-10,6.99873518e-01,0.00000000e+00
8.65699235e-10,7.00014696e-01,0.00000000e+00
8.70426742e-10,6.99997822e-01,0.00000000e+00
8.79881756e-10,7.00000929e-01,0.00000000e+00
8.98791784e-10,6.99998495e-01,0.00000000e+00
9.28791784e-10,7.00000189e-01,0.00000000e+00
9.58791784e-10,6.99998865e-01,0.00000000e+00
9.88791784e-10,6.99999898e-01,0.00000000e+00
1.00000000e-09,6.99999217e-01,7.23783036e-15
