TIME,V(OUT),V(IN)
5.10125000e-10,-4.56353655e-03,8.88750000e-01
5.10250000e-10,-8.46808732e-03,8.77500000e-01
5.10500000e-10,-1.43401041e-02,8.55000000e-01
5.10750000e-10,-1.84194394e-02,8.32500000e-01
5.11250000e-10,-2.39865183e-02,7.87500000e-01
5.11750000e-10,-2.81322502e-02,7.42500000e-01
5.12750000e-10,-3.82761098e-02,6.52500000e-01
5.13750000e-10,-5.42813358e-02,5.62500000e-01
5.14750000e-10,-7.09277847e-02,4.72500000e-01
5.14888285e-10,-7.22903969e-02,4.60054386e-01
5.15164854e-10,-7.35919705e-02,4.35163159e-01
5.15717992e-10,-6.42724127e-02,3.85380705e-01
5.16206399e-10,-3.93909577e-02,3.41424106e-01
5.16645965e-10,-2.20523279e-03,3.01863167e-01
5.17085531e-10,4.85216618e-02,2.62302228e-01
5.17525097e-10,1.12010848e-01,2.22741289e-01
5.17964663e-10,1.86891079e-01,1.83180350e-01
5.18404229e-10,2.70175555e-01,1.43619411e-01
5.18843795e-10,3.58646761e-01,1.04058472e-01
5.19722927e-10,5.45723717e-01,2.49365941e-02
5.20000000e-10,6.06490946e-01,5.32907052e-15
5.20045012e-10,6.18171977e-01,0.00000000e+00
5.20079388e-10,6.26909735e-01,0.00000000e+00
5.20148140e-10,6.44015923e-01,0.00000000e+00
5.20285644e-10,6.76036352e-01,0.00000000e+00
5.20423148e-10,7.05106130e-01,0.00000000e+00
5.20560652e-10,7.31228048e-01,0.00000000e+00
5.20698156e-10,7.54469208e-01,0.00000000e+00
5.20835660e-10,7.74952856e-01,0.00000000e+00
5.20973164e-10,7.92849836e-01,0.00000000e+00
5.21110668e-10,8.08359795e-01,0.00000000e+00
5.21248172e-10,8.21705282e-01,0.00000000e+00
5.21523180e-10,8.42916106e-01,0.00000000e+00
5.21798188e-10,8.58194161e-01,0.00000000e+00
5.22073196e-10,8.69176686e-01,0.00000000e+00
5.22348204e-10,8.77130165e-01,0.00000000e+00
5.22898220e-10,8.87391164e-01,0.00000000e+00
5.23998252e-10,8.96484310e-01,0.00000000e+00
5.26198316e-10,9.00203226e-01,0.00000000e+00
5.28178373e-10,8.99981285e-01,0.00000000e+00
5.30158430e-10,9.00005312e-01,0.00000000e+00
5.32138487e-10,8.99999080e-01,0.00000000e+00
5.36098602e-10,8.99999653e-01,0.00000000e+00
5.44018831e-10,8.99999462e-01,0.00000000e+00
5.59859290e-10,8.99999568e-01,0.00000000e+00
5.89859290e-10,8.99999492e-01,0.00000000e+00
6.19859290e-10,8.99999551e-01,0.00000000e+00
6.49859290e-10,8.99999507e-01,0.00000000e+00
6.79859290e-10,8.99999537e-01,0.00000000e+00
7.00000000e-10,8.99999521e-01,0.00000000e+00
7.00062500e-10,9.02891191e-01,5.62500000e-03
7.00125000e-10,9.05555709e-01,1.12500000e-02
7.00250000e-10,9.10470278e-01,2.25000000e-02
7.00500000e-10,9.18385907e-01,4.50000000e-02
7.00750000e-10,9.24463367e-01,6.75000000e-02
7.01250000e-10,9.33751973e-01,1.12500000e-01
7.01750000e-10,9.41345797e-01,1.57500000e-01
7.02750000e-10,9.58009141e-01,2.47500000e-01
7.03750000e-10,9.79944855e-01,3.37500000e-01
7.04750000e-10,1.00359913e+00,4.27500000e-01
7.05291758e-10,1.00900404e+00,4.76258197e-01
7.05581278e-10,1.00868095e+00,5.02315019e-01
7.05870798e-10,1.00634787e+00,5.28371841e-01
7.06449839e-10,9.87645345e-01,5.80485485e-01
7.06963321e-10,9.53444330e-01,6.26698934e-01
7.07425456e-10,9.07361314e-01,6.68291037e-01
7.07887590e-10,8.46018243e-01,7.09883141e-01
7.08349725e-10,7.68829470e-01,7.51475244e-01
7.08811859e-10,6.77102214e-01,7.93067348e-01
7.09273994e-10,5.74062490e-01,8.34659451e-01
7.09736128e-10,4.61933534e-01,8.76251555e-01
7.10000000e-10,3.94343931e-01,9.00000000e-01
7.10022540e-10,3.87593423e-01,9.00000000e-01
7.10041913e-10,3.81828727e-01,9.00000000e-01
7.10080659e-10,3.70354219e-01,9.00000000e-01
7.10158150e-10,3.47743995e-01,9.00000000e-01
7.10313133e-10,3.03942959e-01,9.00000000e-01
